,Date,Open,High,Low,Close
1,2015-02-13,106.3,106.93,106.1,106.91
2,2015-02-17,106.91,107.08,106.64,107.01
3,2015-02-18,106.88,107.22,106.74,107.16
4,2015-02-19,107.09,107.76,107.06,107.69
5,2015-02-20,107.62,108.47,107.28,108.41
6,2015-02-23,108.35,108.55,108.11,108.52
7,2015-02-24,108.38,108.73,108.05,108.6
8,2015-02-25,108.44,108.86,108.09,108.33
9,2015-02-26,108.44,108.94,108.14,108.88
10,2015-02-27,108.84,108.91,108.23,108.4
11,2015-03-02,108.61,109.42,108.59,109.38
12,2015-03-03,109.05,109.16,108.18,108.87
13,2015-03-04,108.51,108.67,107.86,108.45
14,2015-03-05,108.73,108.97,108.19,108.64
15,2015-03-06,108.5,108.71,107.14,107.41
16,2015-03-09,107.63,107.99,107.19,107.72
17,2015-03-10,106.95,106.98,105.72,105.72
18,2015-03-11,105.88,106.01,105.07,105.11
19,2015-03-12,105.03,105.92,104.96,105.8
20,2015-03-13,105.7,106.12,104.68,105.34
21,2015-03-16,105.73,106.74,105.62,106.7
22,2015-03-17,106.41,107.04,106.16,106.87
23,2015-03-18,106.58,108.41,106.03,107.92
24,2015-03-19,108.03,108.38,107.87,108.08
25,2015-03-20,108.72,109.07,108.51,108.53
26,2015-03-23,108.47,108.77,108.28,108.32
27,2015-03-24,108.31,108.81,107.91,107.93
28,2015-03-25,108.1,108.2,105.42,105.46
29,2015-03-26,104.59,105.7,104.24,105.1
30,2015-03-27,105.08,105.77,104.92,105.52
31,2015-03-30,106.16,106.82,106.16,106.73
32,2015-03-31,106.43,106.65,105.57,105.6
33,2015-04-01,105.6,105.62,104.37,105.05
34,2015-04-02,105.15,105.46,104.78,105.12
35,2015-04-06,104.5,106.27,104.34,105.98
36,2015-04-07,105.92,106.7,105.8,105.8
37,2015-04-08,105.84,106.79,105.83,106.64
38,2015-04-09,106.59,107.35,106.23,107.31
39,2015-04-10,107.27,107.76,107.03,107.75
40,2015-04-13,107.83,108.38,107.36,107.48
41,2015-04-14,107.37,107.68,106.56,107.17
42,2015-04-15,107.45,108.07,107.32,107.84
43,2015-04-16,107.55,107.88,107.4,107.69
44,2015-04-17,106.66,106.95,105.55,106.01
45,2015-04-20,106.54,107.79,106.5,107.6
46,2015-04-21,108.22,108.41,107.93,108.06
47,2015-04-22,108.34,108.83,107.64,108.65
48,2015-04-23,108.28,109.55,108.26,109.06
49,2015-04-24,110.21,110.69,110.03,110.54
50,2015-04-27,110.95,111.16,110.02,110.26
51,2015-04-28,110.34,110.55,109.11,110.04
52,2015-04-29,109.43,110.07,108.75,109.35
53,2015-04-30,108.73,109.17,107.06,107.63
54,2015-05-01,108.05,109.12,108.03,109.05
55,2015-05-04,109.4,109.91,109.17,109.23
56,2015-05-05,108.8,109.0,107.4,107.45
57,2015-05-06,107.64,107.95,106.0,106.71
